"Regions","Area_ha","2009-01-22","2009-01-29","2009-02-05","2009-02-12","2009-02-19","2009-02-25","2009-03-05","2009-03-10","2009-03-19"
"Noroeste",60050,0,0.013,0.12,0.18,0.22,0.64,0.72,0.82,0.99
"Brasnorte",18000,0,0.02,0.18,0.26,0.28,0.7,0.76,0.84,1
"Others_Noroeste",42050,0,0.01,0.1,0.15,0.18,0.6,0.7,0.8,0.99
"Norte",5940,0,0.001,0.09,0.15,0.2,0.82,0.91,0.98,1
"Itauba",1200,0,0.005,0.13,0.2,0.3,0.9,0.95,0.98,1
"Others_Norte",4740,0,0,0.08,0.14,0.18,0.8,0.9,0.98,1
"Nordeste",24300,0,0,0.06,0.08,0.24,0.59,0.72,0.98,1
"Canarana",9000,0,0,0.08,0.1,0.17,0.5,0.68,0.98,1
"Querencia",3200,0,0,0.09,0.16,0.22,0.6,0.68,0.99,1
"Gaucha_do_Norte",6200,0,0,0.05,0.06,0.4,0.8,0.9,0.98,1
"Others_Nordeste",5900,0,0,0.02,0.04,0.2,0.5,0.6,0.98,1
"Medio_Norte",638400,0.01,0.022,0.17,0.29,0.42,0.78,0.9,0.99,1
"Lucas_do_Rio_Verde",140000,0.02,0.035,0.2,0.33,0.48,0.7,0.85,0.99,1
"Sorriso",160000,0.01,0.02,0.23,0.3,0.44,0.8,0.92,1,1
"Nova_Mutum",60000,0.02,0.04,0.16,0.36,0.48,0.75,0.89,0.98,1
"Ipiranga_do_Norte",50000,0.01,0.02,0.18,0.3,0.46,0.9,0.92,0.96,1
"Sinop",30000,0.01,0.02,0.15,0.28,0.48,0.9,0.95,0.98,1
"Tapurah",40000,0,0.01,0.05,0.2,0.38,0.85,0.93,0.99,1
"Others_Medio_Norte",158400,0,0.01,0.1,0.25,0.3,0.75,0.9,0.99,0.99
"Oeste",241800,0.019,0.039,0.2,0.32,0.38,0.67,0.77,0.93,1
"Sapezal",110000,0.03,0.05,0.3,0.4,0.48,0.7,0.84,0.98,1
"Campo_Novo_dos_Parecis",80000,0.01,0.03,0.14,0.25,0.27,0.6,0.68,0.9,1
"Campos_de_Julio",35000,0.01,0.03,0.08,0.26,0.32,0.75,0.8,0.88,1
"Others_Oeste",16800,0.01,0.035,0.06,0.3,0.33,0.65,0.73,0.85,1
"Centro_Sul",82600,0,0.001,0.2,0.3,0.39,0.51,0.73,0.92,1
"Diamantino",48000,0,0,0.25,0.3,0.43,0.55,0.78,0.96,1
"Tangara_da_Serra",10400,0,0.005,0.21,0.33,0.4,0.6,0.82,0.98,1
"Others_Centro_Sul",24200,0,0,0.08,0.28,0.3,0.4,0.6,0.8,1
"Sudeste",376700,0.004,0.019,0.05,0.13,0.17,0.27,0.42,0.74,0.97
"Campo_Verde",90000,0.015,0.025,0.07,0.14,0.24,0.38,0.52,0.8,0.99
"Primavera_do_Leste",80000,0,0.01,0.06,0.16,0.18,0.25,0.42,0.78,0.99
"Alto_Garcas",9000,0,0.02,0.04,0.06,0.07,0.1,0.2,0.65,0.9
"Jaciara_e_Juscimeira",15000,0,0.025,0.05,0.1,0.14,0.24,0.35,0.7,0.98
"Others_Sudeste",182700,0,0.02,0.04,0.12,0.13,0.23,0.38,0.7,0.95
"Mato_Grosso",1413940,0.009,0.022,0.141,0.25,0.332,0.6,0.73,0.903,0.99
