"Regions","Area_ha","2015-01-16","2015-01-22","2015-01-29","2015-02-05","2015-02-12","2015-02-19","2015-02-26","2015-03-05","2015-03-12","2015-03-19"
"Noroeste",117008,0,0,0.01,0.06,0.12,0.2,0.8,0.96,0.994,1
"Brasnorte",45079,0,0,0.01,0.03,0.12,0.2,0.8,0.96,1,1
"Others_Noroeste",71929,0,0,0.01,0.06,0.12,0.2,0.8,0.96,0.99,1
"Norte",42552,0,0.003,0.006,0.15,0.18,0.3,0.4,0.7,0.992,1
"Itauba",8381,0,0.005,0.01,0.15,0.18,0.3,0.4,0.7,1,1
"Others_Norte",34171,0,0.002,0.005,0.15,0.18,0.3,0.4,0.7,0.99,1
"Nordeste",290859,0.001,0.006,0.022,0.035,0.149,0.401,0.728,0.958,0.993,1
"Canarana",46062,0.002,0.005,0.015,0.03,0.12,0.53,0.73,0.95,1,1
"Querencia",96135,0.002,0.01,0.04,0.06,0.2,0.5,0.79,0.98,0.99,1
"Gaucha_do_Norte",17808,0,0,0,0,0.1,0.15,0.6,0.9,1,1
"Nova_Xavantina",10166,0,0,0,0,0.1,0.15,0.7,0.98,1,1
"Others_Nordeste",120688,0,0.004,0.015,0.025,0.13,0.33,0.7,0.95,0.99,1
"Medio_Norte",1358681,0.012,0.043,0.112,0.165,0.261,0.44,0.631,0.831,0.974,1
"Lucas_do_Rio_Verde",146662,0.01,0.033,0.06,0.11,0.29,0.52,0.73,0.8,1,1
"Sorriso",334235,0.015,0.05,0.15,0.19,0.3,0.5,0.7,0.84,0.975,1
"Nova_Mutum",158256,0.01,0.025,0.08,0.1,0.18,0.2,0.4,0.79,0.95,1
"Ipiranga_do_Norte",85478,0.015,0.07,0.17,0.2,0.33,0.525,0.9,0.975,1,1
"Sinop",65039,0.01,0.025,0.1,0.23,0.27,0.3,0.55,0.775,0.99,1
"Tapurah",53481,0.005,0.025,0.03,0.175,0.265,0.45,0.6,0.9,0.99,1
"Santa_Rita_do_Trivelato",30723,0.005,0.01,0.03,0.09,0.13,0.2,0.4,0.6,0.98,1
"Nova_Ubirata",163982,0.015,0.07,0.15,0.19,0.22,0.6,0.59,0.94,1,1
"Vera",75012,0.015,0.05,0.13,0.23,0.39,0.525,0.88,0.85,1,1
"Sao_Jose_do_Rio_Claro",30723,0.005,0.01,0.02,0.05,0.1,0.13,0.15,0.5,0.7,1
"Others_Medio_Norte",215090,0.01,0.035,0.1,0.16,0.24,0.4,0.6,0.8,0.96,1
"Oeste",370256,0.0177,0.035,0.126,0.186,0.303,0.436,0.672,0.874,0.998,1
"Sapezal",137699,0.02,0.05,0.18,0.25,0.4,0.45,0.63,0.97,0.997,1
"Campo_Novo_dos_Parecis",113818,0.01,0.015,0.05,0.09,0.11,0.33,0.58,0.7,1,1
"Campos_de_Julio",89158,0.025,0.04,0.14,0.21,0.4,0.55,0.85,0.95,1,1
"Others_Oeste",29581,0.015,0.03,0.12,0.18,0.3,0.44,0.68,0.87,0.99,1
"Centro_Sul",180659,0.0054,0.018,0.03,0.057,0.209,0.291,0.573,0.813,0.982,1
"Diamantino",92588,0.005,0.02,0.03,0.06,0.22,0.3,0.48,0.75,0.988,1
"Tangara_da_Serra",34410,0.005,0.01,0.03,0.04,0.19,0.22,0.77,0.85,0.95,1
"Santo_Antonio_do_Leveger",10899,0.007,0.025,0.035,0.06,0.125,0.3,0.6,0.925,1,1
"Chapada_dos_Guimaraes",11603,0.007,0.02,0.03,0.07,0.28,0.4,0.6,0.95,1,1
"Others_Centro_Sul",31159,0.006,0.02,0.03,0.06,0.2,0.3,0.61,0.87,0.985,1
"Sudeste",605767,0.0069,0.029,0.054,0.091,0.213,0.378,0.638,0.857,0.996,1
"Campo_Verde",96736,0.01,0.02,0.03,0.1,0.3,0.55,0.7,0.95,1,1
"Primavera_do_Leste",108601,0.01,0.07,0.1,0.12,0.15,0.325,0.53,0.675,1,1
"Alto_Garcas_e_Alto_Taquari",27694,0.005,0.01,0.045,0.06,0.125,0.2,0.75,0.9,0.975,1
"Jaciara_e_Juscimeira",10475,0.007,0.025,0.035,0.07,0.25,0.37,0.62,0.925,1,1
"Santo_Antonio_do_Leste",44736,0.007,0.025,0.035,0.07,0.25,0.37,0.62,0.925,1,1
"Others_Sudeste",317524,0.005,0.02,0.05,0.085,0.21,0.36,0.65,0.875,0.995,1
"Mato_Grosso",2965781,0.0095,0.032,0.082,0.129,0.236,0.402,0.647,0.856,0.985,1
