"Regions","Area_ha","2009-01-09","2009-01-15","2009-01-22","2009-01-29","2009-02-05","2009-02-11","2009-02-19","2009-02-26","2009-03-05","2009-03-10","2009-03-19","2009-03-25","2009-04-01","2009-04-09"
"Others_Noroeste",110609,0,0,0,0.02,0.03,0.1,0.12,0.22,0.43,0.6,0.74,0.83,0.88,0.99
"Itauba",16800,0,0,0.03,0.04,0.15,0.2,0.22,0.42,0.62,0.72,0.8,0.89,0.97,1
"Others_Norte",16100,0,0,0,0.01,0.1,0.18,0.19,0.3,0.55,0.68,0.83,0.93,0.98,1
"Querencia",160000,0,0,0,0,0.03,0.1,0.11,0.12,0.22,0.27,0.33,0.48,0.53,0.7
"Gaucha_do_Norte",47000,0,0,0,0,0.01,0.04,0.12,0.13,0.18,0.27,0.4,0.5,0.58,0.72
"Nova_Xavantina",33797,0,0,0,0,0,0.01,0.015,0.03,0.1,0.18,0.3,0.4,0.5,0.66
"Others_Nordeste",135657,0,0,0,0,0.02,0.03,0.04,0.08,0.16,0.25,0.4,0.53,0.65,0.73
"Medio_Norte",2255419,0.008,0.013,0.035,0.059,0.129,0.222,0.26,0.48,0.643,0.768,0.904,0.959,0.987,0.996
"Lucas_do_Rio_Verde",225830,0.025,0.02,0.05,0.09,0.19,0.3,0.35,0.6,0.78,0.9,0.98,0.99,1,1
"Nova_Mutum",327750,0.005,0.03,0.04,0.06,0.1,0.18,0.23,0.4,0.53,0.73,0.88,0.95,0.99,1
"Ipiranga_do_Norte",145000,0.005,0.01,0.02,0.03,0.15,0.2,0.22,0.45,0.6,0.78,0.94,0.97,0.99,1
"Santa_Rita_do_Trivelato",140590,0.005,0.01,0.03,0.06,0.08,0.17,0.18,0.35,0.48,0.72,0.85,0.93,0.97,0.99
"Nova_Ubirata",230000,0.005,0,0.03,0.04,0.06,0.16,0.22,0.42,0.68,0.75,0.9,0.96,0.97,0.99
"Sao_Jose_do_Rio_Claro",82300,0.005,0,0.04,0.06,0.07,0.17,0.19,0.33,0.45,0.53,0.75,0.88,0.95,0.98
"Others_Medio_Norte",199333,0.005,0,0.02,0.05,0.15,0.25,0.27,0.47,0.6,0.74,0.85,0.93,0.98,1
"Campo_Novo_dos_Parecis",311500,0.01,0.03,0.06,0.075,0.09,0.18,0.2,0.34,0.46,0.62,0.76,0.88,0.92,0.96
"Campos_de_Julio",175000,0.04,0.015,0.1,0.13,0.15,0.26,0.29,0.35,0.52,0.63,0.8,0.9,0.94,0.99
"Others_Oeste",55540,0.03,0,0.07,0.11,0.13,0.27,0.3,0.38,0.57,0.65,0.78,0.9,0.94,0.99
"Centro_Sul",407559,0.003,0.008,0.024,0.038,0.1,0.158,0.18,0.326,0.489,0.578,0.755,0.866,0.91,0.979
"Tangara_da_Serra",50848,0,0.005,0.02,0.035,0.12,NA,0.2,0.25,0.38,0.53,0.7,0.85,0.92,0.98
"Santo_Antonio_do_Leveger",21300,0,0,0,0.015,0.05,0.1,0.16,0.2,0.35,0.5,0.68,0.75,0.82,0.9
"Chapada_dos_Guimaraes",8280,0,0,0.03,0.055,0.15,0.15,0.17,0.26,0.4,0.58,0.8,0.86,0.95,0.99
"Others_Centro_Sul",42917,0,0,0,0.04,0.09,0.16,0.17,0.23,0.4,0.54,0.7,0.8,0.88,0.95
"Campo_Verde",126000,0.01,0.02,0.05,0.075,0.09,0.14,0.18,0.27,0.4,0.58,0.75,0.88,0.95,0.97
"Primavera_do_Leste",210000,0,0.005,0.01,0.03,0.05,0.07,0.1,0.22,0.38,0.5,0.68,0.82,0.91,0.97
"Alto_Garcas_e_Alto_Taquari",119246,0,0,0,0.03,0.04,0.06,0.07,0.13,0.25,0.46,0.5,0.57,0.65,0.74
"Jaciara_e_Juscimeira",29250,0,0,0,0.02,0.03,NA,0.15,0.2,0.33,0.53,0.62,0.7,0.82,0.9
"Santo_Antonio_do_Leste",119000,0,0,0,0.02,0.03,0.07,0.11,0.23,0.35,0.52,0.64,0.78,0.88,0.96
"Others_Sudeste",663274,0,0,0,0.036,0.05,0.1,0.11,0.2,0.34,0.5,0.63,0.77,0.85,0.89
"Mato_Grosso",5547197,0.006,0.012,0.031,0.054,0.098,0.175,0.204,0.352,0.5,0.63,0.767,0.86,0.91,0.95
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
