"Regions","Area_ha","2015-01-08","2015-01-15","2015-01-22","2015-01-29","2015-02-05","2015-02-12","2015-02-19","2015-02-26","2015-03-05","2015-03-12","2015-03-19","2015-03-26","2015-04-02","2015-04-9","2015-04-16","2015-04-23","2015-04-30"
"Noroeste",568638,0.006,0.027,0.067,0.077,0.127,0.184,0.238,0.42,0.512,0.674,0.804,0.884,0.97,0.98,0.997,1,1
"Brasnorte",225395,0.008,0.03,0.07,0.08,0.13,0.19,0.25,0.43,0.53,0.68,0.81,0.89,0.97,0.98,1,1,1
"Others_Noroeste",343243,0.005,0.025,0.065,0.075,0.125,0.18,0.23,0.413,0.5,0.67,0.8,0.88,0.97,0.98,0.995,1,1
"Norte",212760,0.002,0.008,0.042,0.058,0.098,0.166,0.174,0.404,0.492,0.734,0.902,0.94,0.98,0.99,0.998,1,1
"Itauba",41903,0,0.006,0.03,0.05,0.09,0.15,0.19,0.42,0.5,0.75,0.91,0.94,0.98,0.99,1,1,1
"Others_Norte",170857,0.002,0.008,0.045,0.06,0.1,0.17,0.17,0.4,0.49,0.73,0.9,0.94,0.98,0.99,0.997,1,1
"Nordeste",1391763,0,0.006,0.01,0.018,0.044,0.083,0.155,0.304,0.407,0.599,0.7,0.771,0.892,0.93,0.978,0.989,1
"Canarana",219345,0,0.008,0.015,0.025,0.06,0.1,0.19,0.3,0.43,0.64,0.71,0.78,0.89,0.923,0.983,0.99,1
"Querencia",380313,0,0.007,0.01,0.02,0.04,0.08,0.18,0.35,0.45,0.65,0.73,0.78,0.92,0.98,0.99,0.995,1
"Gaucha_do_Norte",148401,0,0.003,0.005,0.01,0.025,0.05,0.1,0.25,0.33,0.5,0.66,0.74,0.84,0.85,0.95,0.97,1
"Nova_Xavantina",50830,0,0.003,0.005,0.01,0.05,0.1,0.15,0.27,0.36,0.55,0.67,0.76,0.86,0.89,0.98,0.99,1
"Others_Nordeste",592874,0,0.005,0.009,0.017,0.045,0.085,0.14,0.293,0.395,0.58,0.69,0.77,0.89,0.925,0.976,0.99,1
"Medio_Norte",3107987,0.019,0.033,0.069,0.103,0.179,0.28,0.406,0.651,0.8,0.902,0.953,0.988,0.996,0.999,1,1,1
"Lucas_do_Rio_Verde",236551,0.03,0.04,0.08,0.12,0.21,0.333,0.5,0.81,0.93,0.99,1,1,1,1,1,1,1
"Sorriso",586378,0.02,0.04,0.082,0.125,0.22,0.325,0.48,0.75,0.9,0.97,0.99,1,1,1,1,1,1
"Nova_Mutum",395641,0.025,0.03,0.063,0.09,0.16,0.275,0.36,0.617,0.74,0.82,0.91,0.98,1,1,1,1,1
"Ipiranga_do_Norte",224942,0.01,0.035,0.085,0.115,0.21,0.32,0.49,0.65,0.85,0.96,0.99,1,1,1,1,1,1
"Sinop",156082,0.015,0.03,0.067,0.09,0.15,0.24,0.33,0.45,0.61,0.76,0.91,0.97,0.99,1,1,1,1
"Tapurah",178270,0.01,0.02,0.03,0.05,0.11,0.18,0.3,0.65,0.72,0.85,0.9,0.96,0.99,1,1,1,1
