"Regions","Area_ha","2010-09-30","2010-10-07","2010-10-14","2010-10-21","2010-10-28","2010-11-04","2010-11-11","2010-11-18","2010-11-25","2010-12-02"
"Noroeste",261200,0,0,0.015,0.066,0.177,0.327,0.599,0.72,0.844,1
"Brasnorte",140000,0,0,0.02,0.08,0.2,0.35,0.65,0.78,0.9,1
"Others_Noroeste",121200,0,0,0.01,0.05,0.15,0.3,0.54,0.65,0.78,1
"Norte",44000,0,0.01,0.037,0.14,0.328,0.498,0.728,0.868,0.954,1
"Itauba",30000,0,0.01,0.04,0.15,0.35,0.52,0.75,0.9,0.97,1
"Others_Norte",14000,0,0.01,0.03,0.12,0.28,0.45,0.68,0.8,0.92,1
"Nordeste",652200,0,0,0.004,0.031,0.09,0.25,0.468,0.676,0.806,0.95
"Canarana",120000,0,0,0,0.03,0.07,0.2,0.45,0.7,0.84,0.96
"Querencia",230000,0,0,0.01,0.06,0.15,0.32,0.55,0.75,0.88,0.98
"Gaucha_do_Norte",95000,0,0,0,0.01,0.06,0.25,0.4,0.68,0.8,0.92
"Nova_Xavantina",40000,0,0,0,0.01,0.05,0.2,0.5,0.7,0.82,0.94
"Others_Nordeste",167200,0,0,0,0.01,0.05,0.2,0.4,0.55,0.68,0.92
"Medio_Norte",2436000,0.003,0.019,0.086,0.193,0.362,0.555,0.781,0.926,0.981,1
"Lucas_do_Rio_Verde",235000,0.01,0.04,0.15,0.27,0.45,0.62,0.88,0.96,0.99,1
"Sorriso",597000,0.01,0.02,0.12,0.25,0.4,0.6,0.8,0.95,0.99,1
"Nova_Mutum",322000,0,0.02,0.06,0.14,0.35,0.55,0.8,0.94,0.98,1
"Ipiranga_do_Norte",172000,0,0.01,0.07,0.16,0.4,0.56,0.8,0.97,0.99,1
"Sinop",108000,0,0.02,0.08,0.2,0.32,0.54,0.7,0.9,0.98,1
"Tapurah",128000,0,0.01,0.08,0.18,0.42,0.6,0.76,0.94,0.98,1
"Santa_Rita_do_Trivelato",138000,0,0.01,0.06,0.12,0.25,0.46,0.7,0.9,0.99,1
"Nova_Ubirata",260000,0,0.02,0.06,0.18,0.3,0.5,0.78,0.88,0.97,1
"Vera",108000,0,0.02,0.07,0.22,0.4,0.6,0.85,0.95,0.99,1
"Sao_Jose_do_Rio_Claro",85000,0,0.01,0.06,0.15,0.3,0.54,0.72,0.95,0.99,1
"Others_Medio_Norte",283000,0,0.01,0.06,0.14,0.3,0.48,0.7,0.85,0.95,1
"Oeste",907200,0.011,0.033,0.09,0.19,0.422,0.59,0.804,0.922,0.979,1
"Sapezal",350000,0.02,0.06,0.12,0.22,0.52,0.65,0.85,0.95,0.99,1
"Campo_Novo_dos_Parecis",318000,0.01,0.02,0.08,0.2,0.35,0.54,0.76,0.9,0.97,1
"Campos_de_Julio",183000,0,0.01,0.06,0.13,0.38,0.58,0.8,0.92,0.98,1
"Others_Oeste",56200,0,0.01,0.05,0.14,0.35,0.52,0.78,0.88,0.96,1
"Centro_Sul",399100,0.001,0.02,0.083,0.164,0.326,0.523,0.737,0.915,0.983,1
"Diamantino",263000,0,0.02,0.08,0.15,0.3,0.48,0.7,0.9,0.98,1
"Tangara_da_Serra",50000,0.01,0.03,0.06,0.12,0.3,0.5,0.73,0.92,0.99,1
"Santo_Antonio_do_Leveger",25000,0,0.02,0.15,0.3,0.5,0.75,0.92,0.98,1,1
"Chapada_dos_Guimaraes",13000,0,0.01,0.1,0.28,0.5,0.72,0.92,0.98,1,1
"Others_Centro_Sul",48100,0,0.01,0.08,0.18,0.35,0.6,0.8,0.94,0.98,1
"Sudeste",1446600,0.003,0.014,0.054,0.176,0.271,0.45,0.653,0.833,0.918,0.975
"Campo_Verde",165000,0.01,0.03,0.1,0.18,0.35,0.52,0.8,0.95,0.98,1
"Primavera_do_Leste",238000,0.01,0.02,0.08,0.16,0.22,0.48,0.72,0.92,0.97,0.99
"Alto_Garcas_e_Alto_Taquari",130000,0,0.01,0.04,0.2,0.28,0.4,0.65,0.82,0.92,0.96
"Jaciara_e_Juscimeira",68000,0,0.01,0.05,0.3,0.4,0.5,0.8,0.9,0.98,1
"Santo_Antonio_do_Leste",125000,0,0.01,0.04,0.2,0.3,0.5,0.68,0.8,0.92,1
"Others_Sudeste",720600,0,0.01,0.04,0.16,0.25,0.42,0.58,0.78,0.88,0.96
"Mato_Grosso",6146300,0.004,0.017,0.067,0.164,0.311,0.492,0.71,0.867,0.941,0.989
