"Regions","Area_ha","2009-06-11","2009-06-18","2009-06-25","2009-07-02","2009-07-09","2009-07-16","2009-07-23","2009-07-30","2009-08-06","2009-08-13","2009-08-20","2009-08-27"
"Noroeste",60150,0,0.02,0.04,0.14,0.24,0.39,0.49,0.76,0.93,0.99,1,1
"Brasnorte",23000,0,0.03,0.05,0.15,0.26,0.38,0.5,0.75,0.9,0.98,1,1
"Others_Noroeste",37150,0,0.02,0.03,0.13,0.23,0.39,0.49,0.77,0.95,0.99,1,1
"Norte",4900,0,0.05,0.14,0.25,0.42,0.52,0.59,0.92,0.99,1,1,1
"Itauba",1200,0,0.03,0.12,0.23,0.4,0.5,0.57,0.9,0.97,1,1,1
"Others_Norte",3700,0,0.05,0.15,0.26,0.43,0.53,0.59,0.93,0.99,1,1,1
"Nordeste",37700,0.01,0.03,0.08,0.13,0.26,0.44,0.59,0.85,0.95,0.99,1,1
"Canarana",9000,0.02,0.04,0.06,0.16,0.3,0.48,0.57,0.83,0.9,0.97,1,1
"Querencia",14000,0,0.02,0.1,0.14,0.27,0.46,0.65,0.9,0.98,1,1,1
"Gaucha_do_Norte",6000,0,0.02,0.07,0.1,0.2,0.4,0.6,0.8,0.99,0.99,1,1
"Nova_Xavantina",1000,0.02,0.03,0.04,0.05,0.17,0.35,0.53,0.99,0.99,0.99,1,1
"Others_Nordeste",7700,0,0.02,0.08,0.11,0.23,0.38,0.5,0.78,0.9,0.98,1,1
"Medio_Norte",802000,0.04,0.09,0.15,0.3,0.5,0.63,0.79,0.91,0.98,1,1,1
"Lucas_do_Rio_Verde",150000,0.03,0.1,0.16,0.26,0.5,0.63,0.8,0.92,0.99,1,1,1
"Sorriso",2e+05,0.08,0.12,0.2,0.4,0.6,0.68,0.86,0.95,0.99,1,1,1
"Nova_Mutum",80000,0.02,0.04,0.08,0.22,0.4,0.55,0.75,0.9,0.98,0.99,1,1
"Ipiranga_do_Norte",60000,0.03,0.07,0.1,0.2,0.5,0.64,0.78,0.9,0.99,1,1,1
"Sinop",50000,0.04,0.08,0.13,0.28,0.5,0.6,0.75,0.88,0.98,1,1,1
"Tapurah",30000,0.04,0.08,0.13,0.26,0.4,0.58,0.78,0.93,0.98,1,1,1
"Nova_Ubirata",80000,0.04,0.06,0.12,0.28,0.45,0.59,0.75,0.92,0.99,1,1,1
"Vera",30000,0.04,0.08,0.18,0.36,0.48,0.6,0.78,0.9,0.99,1,1,1
"Sao_Jose_do_Rio_Claro",14000,0.01,0.04,0.12,0.23,0.44,0.58,0.7,0.83,0.98,1,1,1
"Others_Medio_Norte",108000,0.01,0.1,0.17,0.28,0.45,0.62,0.75,0.88,0.95,0.98,1,1
"Oeste",285900,0.01,0.09,0.14,0.23,0.32,0.43,0.62,0.72,0.84,0.93,0.97,0.99
"Sapezal",110000,0.01,0.12,0.2,0.3,0.4,0.5,0.7,0.82,0.93,0.98,0.99,1
"Campo_Novo_dos_Parecis",90000,0.01,0.08,0.12,0.18,0.27,0.38,0.58,0.68,0.8,0.9,0.95,1
"Campos_de_Julio",70000,0.005,0.07,0.08,0.19,0.27,0.37,0.53,0.62,0.75,0.88,0.95,0.97
"Others_Oeste",15900,0.01,0.05,0.12,0.23,0.31,0.44,0.6,0.78,0.85,0.98,0.99,1
"Centro_Sul",95000,0.01,0.05,0.07,0.13,0.22,0.34,0.52,0.69,0.82,0.91,0.97,0.99
"Diamantino",55000,0.02,0.07,0.09,0.16,0.25,0.38,0.58,0.78,0.9,0.97,0.99,1
"Tangara_da_Serra",13000,0.02,0.05,0.08,0.15,0.23,0.35,0.53,0.7,0.84,0.93,0.99,1
"Santo_Antonio_do_Leveger",8000,0,0.03,0.04,0.06,0.12,0.26,0.44,0.55,0.68,0.82,0.92,0.97
"Chapada_dos_Guimaraes",8000,0,0.01,0.02,0.04,0.1,0.15,0.25,0.4,0.58,0.7,0.9,0.97
"Others_Centro_Sul",11000,0,0.02,0.05,0.1,0.19,0.3,0.48,0.55,0.68,0.84,0.95,0.98
"Sudeste",401400,0,0.02,0.03,0.06,0.1,0.15,0.21,0.34,0.51,0.72,0.82,0.92
"Campo_Verde",90000,0.01,0.03,0.04,0.07,0.13,0.17,0.22,0.38,0.56,0.8,0.88,0.975
"Primavera_do_Leste",80000,0.01,0.02,0.04,0.08,0.15,0.22,0.26,0.45,0.65,0.84,0.9,0.97
"Alto_Garcas_e_Alto_Taquari",32000,0,0,0,0.01,0.03,0.04,0.1,0.15,0.28,0.55,0.62,0.72
"Jaciara_e_Juscimeira",27000,0,0,0.01,0.02,0.05,0.07,0.15,0.38,0.55,0.75,0.85,0.96
"Santo_Antonio_do_Leste",22000,0,0.02,0.03,0.06,0.1,0.15,0.2,0.33,0.5,0.7,0.9,0.97
"Others_Sudeste",150400,0,0.02,0.03,0.05,0.08,0.14,0.2,0.3,0.45,0.65,0.78,0.9
"Mato_Grosso",1687050,0.023,0.067,0.111,0.208,0.34,0.445,0.587,0.727,0.834,0.915,0.951,0.98
