"Regions","Area_ha","2010-06-02","2010-06-10","2010-06-17","2010-06-24","2010-07-01","2010-07-08","2010-07-15","2010-07-22","2010-07-29","2010-08-05","2010-08-12"
"Noroeste",113250,0.01,0.03,0.05,0.168,0.331,0.568,0.735,0.848,0.918,0.984,1
"Brasnorte",40000,0.01,0.03,0.05,0.2,0.35,0.6,0.8,0.9,0.95,0.99,1
"Others_Noroeste",73250,0.01,0.03,0.05,0.15,0.32,0.55,0.7,0.82,0.9,0.98,1
"Norte",8700,0.031,0.071,0.143,0.329,0.529,0.95,0.98,0.99,1,1,1
"Itauba",5000,0.04,0.08,0.16,0.35,0.55,0.95,0.98,0.99,1,1,1
"Others_Norte",3700,0.02,0.06,0.12,0.3,0.5,0.95,0.98,0.99,1,1,1
"Nordeste",76000,0.011,0.068,0.166,0.302,0.485,0.853,0.927,0.962,0.983,1,1
"Canarana",16000,0.01,0.1,0.22,0.35,0.55,0.85,0.92,0.94,0.97,1,1
"Querencia",30000,0.01,0.06,0.15,0.3,0.45,0.8,0.9,0.96,0.98,1,1
"Gaucha_do_Norte",10000,0.01,0.05,0.18,0.3,0.48,0.9,0.96,0.98,0.99,1,1
"Nova_Xavantina",5000,0.03,0.1,0.2,0.32,0.6,0.95,0.98,0.99,1,1,1
"Others_Nordeste",15000,0.01,0.05,0.12,0.25,0.45,0.9,0.95,0.97,0.99,1,1
"Medio_Norte",982820,0.03,0.084,0.155,0.311,0.466,0.72,0.868,0.93,0.968,0.997,1
"Lucas_do_Rio_Verde",150000,0.06,0.12,0.2,0.42,0.58,0.8,0.94,0.98,0.99,1,1
"Sorriso",230000,0.04,0.1,0.18,0.35,0.52,0.76,0.9,0.96,0.98,1,1
"Nova_Mutum",90000,0.03,0.08,0.15,0.25,0.4,0.7,0.88,0.93,0.97,0.99,1
"Ipiranga_do_Norte",75000,0.02,0.07,0.12,0.3,0.45,0.68,0.85,0.94,0.98,1,1
"Sinop",60000,0.04,0.08,0.18,0.35,0.43,0.62,0.8,0.88,0.94,0.99,1
"Tapurah",42000,0.01,0.06,0.12,0.3,0.45,0.85,0.92,0.98,0.99,1,1
"Nova_Ubirata",1e+05,0.01,0.08,0.16,0.3,0.42,0.72,0.82,0.9,0.96,1,1
"Vera",50000,0.02,0.08,0.16,0.32,0.5,0.75,0.9,0.96,0.98,1,1
"Sao_Jose_do_Rio_Claro",20000,0.01,0.06,0.12,0.22,0.35,0.85,0.94,0.96,0.98,1,1
"Others_Medio_Norte",165820,0.01,0.05,0.1,0.2,0.38,0.6,0.78,0.85,0.93,0.99,1
"Oeste",296900,0.024,0.07,0.124,0.2,0.38,0.575,0.719,0.793,0.877,0.968,1
"Sapezal",120000,0.02,0.08,0.15,0.22,0.4,0.55,0.7,0.8,0.9,0.97,1
"Campo_Novo_dos_Parecis",1e+05,0.02,0.06,0.1,0.18,0.38,0.58,0.72,0.78,0.85,0.96,1
"Campos_de_Julio",63000,0.04,0.07,0.12,0.2,0.35,0.6,0.75,0.8,0.88,0.97,1
"Others_Oeste",13900,0.01,0.05,0.1,0.18,0.35,0.65,0.74,0.8,0.85,0.99,1
"Centro_Sul",106000,0.008,0.045,0.101,0.257,0.392,0.696,0.796,0.863,0.925,0.986,1
"Diamantino",70000,0.01,0.05,0.1,0.28,0.4,0.65,0.74,0.82,0.9,0.98,1
"Tangara_da_Serra",13000,0,0.02,0.12,0.22,0.35,0.6,0.8,0.88,0.94,0.99,1
"Santo_Antonio_do_Leveger",4000,0,0.05,0.12,0.25,0.5,0.95,0.98,0.99,0.995,1,1
"Chapada_dos_Guimaraes",8000,0.01,0.04,0.1,0.2,0.4,0.92,0.98,0.99,0.995,1,1
"Others_Centro_Sul",11000,0.01,0.04,0.08,0.2,0.35,0.85,0.95,0.98,0.99,1,1
"Sudeste",418400,0.004,0.017,0.053,0.141,0.315,0.555,0.688,0.745,0.827,0.921,0.974
"Campo_Verde",90000,0.01,0.03,0.07,0.15,0.32,0.55,0.68,0.72,0.82,0.92,0.98
"Primavera_do_Leste",80000,0.01,0.02,0.05,0.13,0.3,0.5,0.66,0.75,0.85,0.95,0.99
"Alto_Garcas_e_Alto_Taquari",30000,0,0.02,0.05,0.12,0.35,0.58,0.65,0.69,0.78,0.88,0.95
"Jaciara_e_Juscimeira",20000,0,0.01,0.04,0.12,0.38,0.65,0.8,0.88,0.92,0.97,1
"Santo_Antonio_do_Leste",25000,0,0.01,0.04,0.12,0.35,0.68,0.82,0.88,0.95,0.99,1
"Others_Sudeste",173400,0,0.01,0.05,0.15,0.3,0.55,0.68,0.73,0.8,0.9,0.96
"Mato_Grosso",2002070,0.02,0.062,0.121,0.248,0.411,0.66,0.8,0.864,0.921,0.975,0.994
