"Regions","Area_ha","2011-01-27","2011-02-03","2011-02-10","2011-02-17","2011-02-24","2011-03-03","2011-03-10","2011-03-17","2011-03-24"
"Noroeste",60400,0.003,0.005,0.126,0.303,0.471,0.821,0.968,1,1
"Brasnorte",35000,0.005,0.008,0.15,0.32,0.45,0.8,0.96,1,1
"Others_Noroeste",25400,0,0.002,0.1,0.28,0.5,0.85,0.98,1,1
"Norte",13608,0.001,0.025,0.157,0.333,0.399,0.716,0.863,1,1
"Itauba",4500,0.005,0.01,0.18,0.4,0.6,0.95,0.99,1,1
"Others_Norte",9108,0,0.03,0.15,0.3,0.3,0.6,0.8,1,1
"Nordeste",78000,0.008,0.011,0.043,0.467,0.61,0.98,1,1,1
"Canarana",15000,0.01,0.015,0.05,0.42,0.6,0.96,1,1,1
"Querencia",35000,0.01,0.012,0.05,0.4,0.55,0.98,1,1,1
"Gaucha_do_Norte",8000,0,0,0.03,0.6,0.7,0.99,1,1,1
"Nova_Xavantina",5000,0,0,0.03,0.55,0.6,0.99,1,1,1
"Others_Nordeste",15000,0.01,0.015,0.03,0.55,0.7,0.99,1,1,1
"Medio_Norte",865500,0.016,0.044,0.146,0.349,0.475,0.81,0.954,1,1
"Lucas_do_Rio_Verde",125000,0.025,0.07,0.17,0.38,0.47,0.78,0.96,1,1
"Sorriso",220000,0.025,0.065,0.2,0.35,0.52,0.8,0.95,1,1
"Nova_Mutum",90000,0.01,0.03,0.15,0.32,0.5,0.85,0.95,1,1
"Ipiranga_do_Norte",65000,0.01,0.04,0.15,0.32,0.43,0.85,0.95,1,1
"Sinop",50000,0.01,0.03,0.05,0.29,0.32,0.76,0.88,1,1
"Tapurah",40000,0.01,0.03,0.06,0.29,0.4,0.75,0.95,1,1
"Santa_Rita_do_Trivelato",38000,0.005,0.015,0.08,0.35,0.42,0.85,0.98,1,1
"Nova_Ubirata",80000,0.01,0.015,0.1,0.32,0.35,0.8,0.95,1,1
"Vera",48000,0.005,0.03,0.16,0.35,0.45,0.88,0.98,1,1
"Sao_Jose_do_Rio_Claro",20000,0.005,0.04,0.08,0.38,0.5,0.89,0.98,1,1
"Others_Medio_Norte",89500,0.01,0.013,0.12,0.45,0.68,0.8,0.98,1,1
"Oeste",270100,0.014,0.045,0.151,0.272,0.333,0.51,0.819,0.971,1
"Sapezal",110000,0.02,0.07,0.18,0.3,0.35,0.5,0.8,0.98,1
"Campo_Novo_dos_Parecis",88000,0.01,0.03,0.14,0.25,0.33,0.52,0.85,0.95,1
"Campos_de_Julio",58000,0.01,0.03,0.12,0.25,0.3,0.5,0.8,0.98,1
"Others_Oeste",14100,0.01,0.03,0.15,0.3,0.365,0.55,0.85,0.99,1
"Centro_Sul",110000,0.004,0.026,0.131,0.38,0.45,0.63,0.847,0.982,1
"Diamantino",67000,0.005,0.02,0.1,0.38,0.47,0.6,0.8,0.98,1
"Tangara_da_Serra",14000,0,0.03,0.15,0.35,0.4,0.65,0.9,0.96,1
"Santo_Antonio_do_Leveger",8000,0,0.07,0.2,0.4,0.45,0.7,0.98,1,1
"Chapada_dos_Guimaraes",10000,0,0.04,0.2,0.38,0.39,0.78,0.95,1,1
"Others_Centro_Sul",11000,0.005,0.03,0.2,0.4,0.45,0.6,0.88,0.99,1
"Sudeste",402500,0.006,0.023,0.11,0.369,0.486,0.658,0.884,0.977,1
"Campo_Verde",70000,0.005,0.02,0.1,0.35,0.4,0.58,0.86,0.95,1
"Primavera_do_Leste",75000,0.01,0.03,0.12,0.32,0.4,0.6,0.84,0.97,1
"Alto_Garcas_e_Alto_Taquari",10000,0,0.04,0.1,0.25,0.6,0.7,0.98,0.98,1
"Jaciara_e_Juscimeira",12000,0,0.07,0.2,0.4,0.45,0.68,0.9,0.98,1
"Santo_Antonio_do_Leste",25000,0.005,0.03,0.12,0.32,0.42,0.65,0.9,0.96,1
"Others_Sudeste",210500,0.005,0.015,0.1,0.4,0.55,0.7,0.9,0.99,1
"Mato_Grosso",1800108,0.012,0.035,0.133,0.346,0.458,0.725,0.913,0.989,1
