"Regions","Area_ha","2012-01-12","2012-01-19","2012-01-26","2012-02-02","2012-02-09","2012-02-16","2012-02-23","2012-03-01","2012-03-08","2012-03-15"
"Noroeste",67800,0,0,0,0.1,0.472,0.576,0.848,0.98,1,1
"Brasnorte",25000,0,0,0,0.1,0.51,0.62,0.88,0.98,1,1
"Others_Noroeste",42800,0,0,0,0.1,0.45,0.55,0.83,0.98,1,1
"Norte",14650,0,0,0.002,0.12,0.487,0.587,0.827,0.96,1,1
"Itauba",4900,0,0,0.005,0.12,0.46,0.56,0.82,0.96,1,1
"Others_Norte",9750,0,0,0,0.12,0.5,0.6,0.83,0.96,1,1
"Nordeste",126600,0,0,0.005,0.14,0.59,0.697,0.787,0.915,0.992,1
"Canarana",26000,0,0,0.005,0.12,0.53,0.65,0.72,0.85,1,1
"Querencia",45000,0,0,0.005,0.15,0.62,0.72,0.82,0.92,0.99,1
"Gaucha_do_Norte",10000,0,0,0,0.13,0.65,0.76,0.85,0.93,0.99,1
"Nova_Xavantina",10000,0,0,0,0.1,0.66,0.78,0.87,0.96,0.99,1
"Others_Nordeste",35600,0,0,0,0.14,0.58,0.7,0.8,0.94,0.99,1
"Medio_Norte",1280400,0.003,0.009,0.03,0.131,0.459,0.622,0.867,0.966,0.997,1
"Lucas_do_Rio_Verde",169400,0.005,0.01,0.03,0.09,0.27,0.49,0.8,0.95,1,1
"Sorriso",380000,0.005,0.01,0.04,0.16,0.6,0.75,0.98,0.98,1,1
"Nova_Mutum",105000,0,0.02,0.03,0.08,0.35,0.5,0.7,0.95,0.99,1
"Ipiranga_do_Norte",90000,0.005,0.01,0.03,0.13,0.36,0.58,0.8,0.96,1,1
"Sinop",65000,0,0,0.02,0.07,0.34,0.54,0.83,0.97,1,1
"Tapurah",50000,0.005,0.01,0.04,0.07,0.48,0.6,0.84,0.97,1,1
"Santa_Rita_do_Trivelato",60000,0,0.005,0.02,0.12,0.45,0.65,0.86,0.98,1,1
"Nova_Ubirata",1e+05,0.005,0.01,0.03,0.16,0.48,0.58,0.83,0.95,0.99,1
"Vera",72000,0,0,0.02,0.17,0.34,0.6,0.8,0.94,0.99,1
"Sao_Jose_do_Rio_Claro",26000,0,0,0.02,0.16,0.49,0.62,0.83,0.95,1,1
"Others_Medio_Norte",163000,0,0.005,0.02,0.15,0.53,0.63,0.9,0.98,0.99,1
"Oeste",338350,0.002,0.023,0.043,0.102,0.491,0.597,0.827,0.96,1,1
"Sapezal",110000,0.005,0.06,0.09,0.12,0.52,0.65,0.85,0.98,1,1
"Campo_Novo_dos_Parecis",128000,0,0.005,0.02,0.1,0.48,0.55,0.8,0.95,1,1
"Campos_de_Julio",82000,0,0.005,0.02,0.08,0.47,0.6,0.84,0.95,1,1
"Others_Oeste",18350,0,0,0.02,0.1,0.48,0.6,0.82,0.95,1,1
"Centro_Sul",139400,0,0.003,0.022,0.075,0.399,0.488,0.705,0.96,0.993,1
"Diamantino",78000,0,0.005,0.02,0.07,0.43,0.5,0.7,0.98,1,1
"Tangara_da_Serra",26000,0,0,0.03,0.08,0.48,0.55,0.73,0.96,0.99,1
"Santo_Antonio_do_Leveger",10000,0,0,0.01,0.06,0.32,0.45,0.63,0.9,0.98,1
"Chapada_dos_Guimaraes",14000,0,0,0.03,0.1,0.2,0.36,0.7,0.9,0.98,1
"Others_Centro_Sul",11400,0,0,0.02,0.08,0.32,0.45,0.75,0.95,0.98,1
"Sudeste",457620,0.001,0.004,0.033,0.119,0.262,0.427,0.708,0.918,0.983,1
"Campo_Verde",90000,0.005,0.01,0.04,0.14,0.28,0.5,0.85,0.99,1,1
"Primavera_do_Leste",1e+05,0,0.005,0.04,0.15,0.25,0.45,0.7,0.9,0.98,1
"Alto_Garcas_e_Alto_Taquari",10800,0,0.01,0.02,0.06,0.2,0.3,0.5,0.85,0.95,1
"Jaciara_e_Juscimeira",29200,0,0.01,0.02,0.09,0.28,0.38,0.6,0.9,0.98,1
"Santo_Antonio_do_Leste",28000,0,0,0.03,0.13,0.27,0.4,0.68,0.92,0.98,1
"Others_Sudeste",199620,0,0,0.03,0.1,0.26,0.4,0.68,0.9,0.98,1
"Mato_Grosso",2424820,0.002,0.009,0.03,0.121,0.43,0.577,0.817,0.953,0.994,1
