"Regions","Area_ha","2014-01-16","2014-01-23","2014-01-30","2014-02-06","2014-02-13","2014-02-20","2014-02-27","2014-03-06","2014-03-13","2014-03-20","2014-03-27"
"Noroeste",133130,0.001,0.002,0.03,0.057,0.367,0.474,0.65,0.937,0.973,0.993,1
"Brasnorte",45954,0.002,0.005,0.05,0.07,0.4,0.5,0.65,0.95,0.98,1,1
"Others_Noroeste",87176,0,0.001,0.02,0.05,0.35,0.46,0.65,0.93,0.97,0.99,1
"Norte",38108,0,0,0,0.033,0.315,0.472,0.579,0.962,1,1,1
"Itauba",11134,0,0,0.001,0.04,0.35,0.5,0.6,0.99,1,1,1
"Others_Norte",26973,0,0,0,0.03,0.3,0.46,0.57,0.95,1,1,1
"Nordeste",253713,0,0.012,0.025,0.073,0.174,0.312,0.755,0.904,0.978,1,1
"Canarana",51249,0,0.02,0.04,0.07,0.29,0.4,0.7,0.83,0.99,1,1
"Querencia",95078,0,0.02,0.04,0.11,0.2,0.4,0.8,0.98,0.99,1,1
"Gaucha_do_Norte",16189,0,0,0.005,0.05,0.09,0.18,0.9,0.95,0.97,1,1
"Nova_Xavantina",12708,0,0,0.005,0.05,0.07,0.15,0.8,0.9,0.96,1,1
"Others_Nordeste",78489,0,0,0.005,0.04,0.1,0.2,0.7,0.85,0.96,1,1
"Medio_Norte",1592262,0.007,0.042,0.083,0.163,0.512,0.62,0.763,0.932,0.98,0.998,1
"Lucas_do_Rio_Verde",170130,0.02,0.035,0.09,0.2,0.46,0.6,0.75,0.86,0.97,1,1
"Sorriso",375513,0.01,0.06,0.11,0.2,0.65,0.74,0.86,0.95,0.99,1,1
"Nova_Mutum",210244,0,0.056,0.09,0.17,0.43,0.55,0.73,0.96,0.98,1,1
"Ipiranga_do_Norte",125593,0.015,0.04,0.09,0.14,0.5,0.61,0.733,0.9,0.97,0.99,1
"Sinop",91813,0.015,0.035,0.1,0.16,0.36,0.53,0.75,0.92,0.97,1,1
"Tapurah",76401,0,0.03,0.08,0.125,0.49,0.53,0.63,0.99,1,1,1
"Santa_Rita_do_Trivelato",79600,0,0.02,0.04,0.12,0.58,0.67,0.8,0.9,0.97,1,1
"Nova_Ubirata",143646,0,0.023,0.04,0.12,0.45,0.52,0.75,0.98,0.997,1,1
"Vera",90158,0.01,0.05,0.1,0.2,0.58,0.69,0.76,0.96,0.99,1,1
"Sao_Jose_do_Rio_Claro",35098,0,0.01,0.03,0.12,0.55,0.65,0.76,0.9,0.96,0.99,1
"Others_Medio_Norte",194066,0.003,0.03,0.06,0.12,0.45,0.58,0.7,0.9,0.96,0.99,1
"Oeste",359004,0.026,0.078,0.149,0.27,0.523,0.648,0.769,0.913,0.972,0.998,1
"Sapezal",140624,0.05,0.11,0.18,0.25,0.51,0.63,0.77,0.92,0.98,0.995,1
"Campo_Novo_dos_Parecis",131473,0.01,0.043,0.14,0.28,0.54,0.66,0.76,0.9,0.96,1,1
"Campos_de_Julio",64835,0.015,0.09,0.12,0.3,0.53,0.68,0.81,0.93,0.98,1,1
"Others_Oeste",22073,0.005,0.05,0.09,0.25,0.48,0.6,0.7,0.9,0.97,1,1
"Centro_Sul",196560,0.006,0.037,0.087,0.16,0.497,0.606,0.737,0.839,0.945,0.992,1
"Diamantino",117339,0,0.02,0.08,0.14,0.5,0.6,0.74,0.83,0.94,0.99,1
"Tangara_da_Serra",29621,0.04,0.12,0.17,0.24,0.52,0.62,0.73,0.8,0.94,1,1
"Santo_Antonio_do_Leveger",11449,0,0.01,0.04,0.18,0.5,0.64,0.75,0.88,0.96,0.99,1
"Chapada_dos_Guimaraes",14625,0.005,0.053,0.085,0.175,0.47,0.6,0.75,0.94,0.99,1,1
"Others_Centro_Sul",23525,0,0.02,0.04,0.14,0.47,0.605,0.72,0.85,0.94,0.99,1
"Sudeste",667991,0.007,0.029,0.061,0.153,0.419,0.565,0.723,0.899,0.983,0.998,1
"Campo_Verde",121936,0.005,0.053,0.085,0.175,0.47,0.6,0.75,0.94,0.99,1,1
"Primavera_do_Leste",125506,0.035,0.071,0.1,0.18,0.38,0.53,0.72,0.84,0.99,0.995,1
"Alto_Garcas_e_Alto_Taquari",28982,0,0.01,0.07,0.15,0.41,0.56,0.7,0.99,1,1,1
"Jaciara_e_Juscimeira",14520,0,0.01,0.04,0.18,0.5,0.64,0.75,0.94,0.99,0.99,1
"Santo_Antonio_do_Leste",52192,0,0.01,0.04,0.18,0.5,0.64,0.75,0.88,0.96,0.99,1
"Others_Sudeste",324855,0,0.01,0.04,0.13,0.4,0.55,0.71,0.9,0.98,1,1
"Mato_Grosso",3240768,0.009,0.038,0.078,0.16,0.459,0.579,0.747,0.916,0.977,0.998,1
