"Regions","Area_ha","2013-09-19","2013-09-26","2013-10-03","2013-10-10","2013-10-17","2013-10-24","2013-10-31","2013-11-07","2013-11-14","2013-11-21"," 2013-11-28","2013-12-05"
"Noroeste",535051,0.004,0.005,0.008,0.07,0.196,0.42,0.66,0.86,0.99,0.999,1,1
"Brasnorte",218830,0.005,0.005,0.008,0.07,0.22,0.45,0.66,0.86,0.99,0.999,1,1
"Others_Noroeste",316222,0.003,0.003,0.008,0.07,0.18,0.4,0.64,0.85,0.95,0.99,0.995,1
"Norte",143509,0.004,0.006,0.007,0.093,0.207,0.486,0.506,0.743,0.85,0.9,0.98,1
"Itauba",39765,0.005,0.007,0.008,0.1,0.2,0.5,0.52,0.75,0.85,0.9,0.98,1
"Others_Norte",103744,0.003,0.006,0.007,0.09,0.21,0.48,0.5,0.74,0.85,0.9,0.98,1
"Nordeste",1200574,0,0,0.001,0.015,0.034,0.196,0.333,0.532,0.681,0.841,0.965,1
"Canarana",204995,0,0,0,0.016,0.035,0.145,0.33,0.52,0.69,0.75,0.983,1
"Querencia",352142,0,0,0,0.01,0.03,0.21,0.35,0.565,0.7,0.89,0.965,1
"Gaucha_do_Norte",134910,0,0,0.003,0.02,0.04,0.22,0.27,0.505,0.66,0.85,0.95,1
"Nova_Xavantina",47065,0,0,0.005,0.02,0.038,0.21,0.33,0.53,0.68,0.85,0.95,1
"Others_Nordeste",461462,0,0,0.001,0.017,0.035,0.2,0.34,0.52,0.67,0.84,0.962,1
"Medio_Norte",2982156,0.003,0.008,0.012,0.105,0.376,0.623,0.85,0.955,0.992,1,1,1
"Lucas_do_Rio_Verde",233055,0.005,0.007,0.011,0.13,0.48,0.7,0.96,0.98,1,1,1,1
"Sorriso",577712,0.005,0.008,0.009,0.133,0.51,0.71,0.94,0.995,1,1,1,1
"Nova_Mutum",382262,0.005,0.013,0.015,0.097,0.34,0.6,0.82,0.985,1,1,1,1
"Ipiranga_do_Norte",209321,0,0.01,0.02,0.1,0.33,0.7,0.83,0.965,1,1,1,1
"Sinop",153022,0,0.003,0.007,0.088,0.25,0.54,0.79,0.86,0.99,1,1,1
"Tapurah",169781,0,0.005,0.007,0.105,0.3,0.525,0.83,0.93,1,1,1,1
"Santa_Rita_do_Trivelato",153077,0.005,0.007,0.017,0.08,0.21,0.575,0.84,0.93,0.98,0.995,1,1
"Nova_Ubirata",350355,0.005,0.01,0.009,0.07,0.3,0.53,0.82,0.94,1,1,1,1
"Vera",138705,0,0.004,0.01,0.1,0.46,0.6,0.88,0.975,1,1,1,1
"Sao_Jose_do_Rio_Claro",116994,0,0.02,0.021,0.1,0.45,0.65,0.7,0.9,0.93,1,1,1
"Others_Medio_Norte",497871,0.003,0.007,0.011,0.1,0.35,0.61,0.8,0.93,0.98,0.999,1,1
"Oeste",1074855,0.005,0.022,0.05,0.17,0.396,0.636,0.814,0.924,0.972,0.997,1,1
"Sapezal",401782,0.005,0.04,0.06,0.205,0.5,0.7,0.88,0.955,0.99,1,1,1
"Campo_Novo_dos_Parecis",375636,0.005,0.007,0.015,0.097,0.25,0.53,0.75,0.88,0.95,0.998,1,1
"Campos_de_Julio",209145,0.005,0.018,0.1,0.25,0.5,0.7,0.81,0.94,0.98,0.99,1,1
"Others_Oeste",88292,0.005,0.02,0.04,0.185,0.3,0.64,0.8,0.93,0.97,0.99,1,1
"Centro_Sul",614503,0.005,0.006,0.013,0.073,0.225,0.444,0.724,0.913,0.959,0.993,0.998,1
"Diamantino",366685,0.005,0.005,0.008,0.065,0.23,0.45,0.74,0.92,0.95,0.993,0.997,1
"Tangara_da_Serra",98736,0.005,0.01,0.035,0.08,0.18,0.4,0.73,0.9,0.98,0.999,1,1
"Santo_Antonio_do_Leveger",38163,0,0.005,0.005,0.07,0.23,0.35,0.6,0.87,0.96,0.99,0.995,1
"Chapada_dos_Guimaraes",32501,0.005,0.007,0.008,0.135,0.32,0.6,0.85,0.95,0.97,0.99,1,1
"Others_Centro_Sul",78417,0.004,0.005,0.011,0.09,0.22,0.45,0.65,0.9,0.97,0.99,0.998,1
"Sudeste",1745377,0.002,0.006,0.008,0.085,0.234,0.488,0.731,0.877,0.96,0.993,0.998,1
"Campo_Verde",270969,0.005,0.007,0.008,0.135,0.32,0.6,0.92,0.96,0.99,1,1,1
"Primavera_do_Leste",272840,0.002,0.019,0.027,0.085,0.21,0.5,0.72,0.87,0.99,1,1,1
"Alto_Garcas_e_Alto_Taquari",82806,0,0,0,0.04,0.23,0.4,0.7,0.81,0.89,0.98,0.995,1
"Jaciara_e_Juscimeira",41487,0,0,0.003,0.07,0.18,0.4,0.6,0.87,0.95,0.99,0.995,1
"Santo_Antonio_do_Leste",149119,0,0,0.003,0.07,0.23,0.45,0.66,0.88,0.96,0.99,0.995,1
"Others_Sudeste",928156,0.001,0.003,0.004,0.08,0.22,0.47,0.7,0.86,0.95,0.99,0.997,1
"Mato_Grosso",8296025,0.003,0.008,0.014,0.091,0.274,0.506,0.717,0.86,0.931,0.972,0.994,1
