"Regions","Area_ha","2014-09-18","2014-09-25","2014-10-02","2014-10-09","2014-10-16","2014-10-23","2014-10-30","2014-11-06","2014-11-13","2014-11-20","2014-11-27","2014-12-04","2014-12-11"
"Noroeste",608298,0.001,0.004,0.008,0.078,0.088,0.204,0.338,0.661,0.808,0.894,0.974,0.997,1
"Brasnorte",229771,0.002,0.005,0.01,0.09,0.1,0.21,0.35,0.68,0.82,0.9,0.98,1,1
"Others_Noroeste",378526,0.001,0.003,0.007,0.07,0.08,0.2,0.33,0.65,0.8,0.89,0.97,0.995,1
"Norte",200301,0.001,0.003,0.034,0.052,0.052,0.122,0.264,0.462,0.684,0.844,0.936,0.96,1
"Itauba",42717,0.002,0.005,0.05,0.06,0.06,0.13,0.28,0.47,0.7,0.82,0.92,0.96,1
"Others_Norte",157585,0.001,0.003,0.03,0.05,0.05,0.12,0.26,0.46,0.68,0.85,0.94,0.96,1
"Nordeste",1341790,0,0,0,0.014,0.017,0.047,0.182,0.305,0.576,0.779,0.92,0.972,1
"Canarana",221395,0,0,0,0.023,0.025,0.06,0.18,0.3,0.55,0.78,0.92,0.98,1
"Querencia",380313,0,0,0,0.022,0.024,0.06,0.25,0.34,0.65,0.85,0.93,0.98,1
"Gaucha_do_Norte",161892,0,0,0,0,0.005,0.025,0.115,0.25,0.55,0.7,0.9,0.95,1
"Nova Xavantina",50830,0,0,0,0.01,0.01,0.04,0.12,0.3,0.5,0.7,0.92,0.98,1
"Others_Nordeste",527360,0,0,0,0.01,0.012,0.04,0.16,0.3,0.55,0.76,0.92,0.97,1
"Medio_Norte",3064076,0.003,0.02,0.063,0.092,0.103,0.223,0.473,0.796,0.915,0.971,0.996,1,1
"Lucas do Rio Verde",234221,0.003,0.02,0.032,0.1,0.12,0.26,0.58,0.83,0.95,0.99,1,1,1
"Sorriso",580601,0.006,0.03,0.09,0.11,0.12,0.28,0.53,0.88,0.97,0.99,1,1,1
"Nova Mutum",386084,0.002,0.02,0.04,0.09,0.1,0.24,0.45,0.8,0.93,0.98,0.995,1,1
"Ipiranga do Norte",224942,0.002,0.02,0.067,0.08,0.1,0.23,0.58,0.88,0.95,0.98,1,1,1
"Sinop",153787,0.008,0.025,0.05,0.08,0.09,0.16,0.32,0.75,0.88,0.95,1,1,1
"Tapurah",171478,0.003,0.025,0.07,0.09,0.1,0.2,0.4,0.7,0.86,0.95,1,1,1
"Santa Rita do Trivelato",159200,0.003,0.01,0.015,0.035,0.04,0.13,0.3,0.7,0.83,0.95,0.99,1,1
"Nova_Ubirata",364404,0.001,0.007,0.07,0.09,0.095,0.17,0.45,0.72,0.89,0.97,1,1,1
"Vera",142866,0.002,0.015,0.1,0.12,0.125,0.27,0.56,0.85,0.95,0.99,1,1,1
"Sao_Jose_do_Rio_Claro",119334,0.002,0.007,0.07,0.1,0.11,0.2,0.45,0.7,0.8,0.91,0.98,1,1
"Others_Medio_Norte",527158,0.004,0.02,0.06,0.09,0.1,0.21,0.45,0.78,0.9,0.96,0.99,1,1
"Oeste",1089072,0.006,0.051,0.061,0.144,0.162,0.359,0.563,0.771,0.894,0.959,0.99,1,1
"Sapezal",401782,0.005,0.05,0.06,0.18,0.2,0.41,0.65,0.8,0.93,0.98,0.995,1,1
"Campo Novo do Parecis",383149,0.008,0.06,0.07,0.115,0.13,0.32,0.45,0.7,0.82,0.92,0.98,1,1
"Campos_de_Julio",211236,0.005,0.04,0.05,0.13,0.15,0.34,0.6,0.83,0.96,0.99,1,1,1
"Others_Oeste",92904,0.004,0.04,0.05,0.14,0.16,0.34,0.57,0.8,0.89,0.96,0.99,1,1
"Centro-sul",640152,0.002,0.014,0.034,0.076,0.085,0.21,0.374,0.649,0.885,0.975,0.993,1,1
"Diamantino",381352,0.002,0.01,0.015,0.06,0.07,0.21,0.365,0.62,0.9,0.98,0.99,1,1
"Tangara_da_Serra",101698,0.004,0.025,0.05,0.09,0.095,0.21,0.38,0.68,0.84,0.96,1,1,1
"Santo_Antonio_do_Leverger",38545,0.002,0.015,0.08,0.1,0.11,0.19,0.35,0.73,0.88,0.97,1,1,1
"Chapada_dos_Guimaraes",33151,0.004,0.025,0.1,0.13,0.14,0.25,0.5,0.73,0.95,0.99,1,1,1
"Others_Centro_Sul",85406,0.002,0.015,0.05,0.1,0.11,0.2,0.37,0.67,0.85,0.97,0.99,1,1
"Sudeste",1922550,0.003,0.014,0.057,0.091,0.101,0.189,0.41,0.697,0.891,0.964,0.992,1,1
"Campo Verde",270969,0.004,0.025,0.1,0.13,0.14,0.25,0.5,0.73,0.95,0.99,1,1,1
"Primavera do Leste",272860,0.003,0.015,0.08,0.1,0.11,0.18,0.35,0.63,0.85,0.96,0.995,1,1
"Alto_Garcas_e_Alto_Taquari",85692,0.004,0.015,0.02,0.06,0.07,0.16,0.37,0.65,0.85,0.92,0.965,0.99,1
"Jaciara",41902,0.002,0.015,0.08,0.1,0.11,0.17,0.4,0.73,0.95,0.98,1,1,1
"Santo_Antonio_do_Leste",152400,0.002,0.015,0.08,0.1,0.11,0.18,0.46,0.75,0.95,0.98,1,1,1
"Others_Sudeste",1098728,0.003,0.01,0.04,0.08,0.09,0.18,0.4,0.7,0.88,0.96,0.99,1,1
"Mato Grosso",8866239,0.003,0.017,0.045,0.083,0.093,0.201,0.405,0.669,0.841,0.931,0.98,0.995,1
