"Regions","Area_ha","2011-06-09","2011-06-16","2011-06-23","2011-06-30","2011-07-07","2011-07-14","2011-07-21","2011-07-28","2011-08-04","2011-08-11","2011-08-18"
"Noroeste",58400,0.005,0.01,0.044,0.127,0.189,0.289,0.6,0.857,1,1,1
"Brasnorte",25000,0.005,0.01,0.05,0.15,0.2,0.3,0.6,0.8,1,1,1
"Others_Noroeste",33400,0.005,0.01,0.04,0.11,0.18,0.28,0.6,0.9,1,1,1
"Norte",13608,0.005,0.013,0.063,0.187,0.36,0.55,0.8,0.97,1,1,1
"Itauba",4500,0.005,0.02,0.07,0.2,0.38,0.55,0.8,0.95,1,1,1
"Others_Norte",9108,0.005,0.01,0.06,0.18,0.35,0.55,0.8,0.98,1,1,1
"Nordeste",72000,0.011,0.024,0.038,0.146,0.214,0.329,0.546,0.716,0.919,0.992,1
"Canarana",14000,0.01,0.02,0.03,0.15,0.2,0.32,0.48,0.68,0.9,0.98,1
"Querencia",30000,0.01,0.03,0.04,0.14,0.22,0.33,0.52,0.7,0.92,1,1
"Gaucha_do_Norte",8000,0.015,0.02,0.05,0.15,0.22,0.33,0.5,0.68,0.93,1,1
"Nova_Xavantina",5000,0.01,0.02,0.05,0.15,0.25,0.35,0.5,0.72,0.95,1,1
"Others_Nordeste",15000,0.01,0.02,0.03,0.15,0.2,0.33,0.7,0.8,0.92,0.98,1
"Medio_Norte",841500,0.016,0.036,0.062,0.198,0.397,0.607,0.822,0.978,1,1,1
"Lucas_do_Rio_Verde",125000,0.02,0.04,0.06,0.2,0.38,0.58,0.85,0.98,1,1,1
"Sorriso",220000,0.02,0.04,0.07,0.22,0.42,0.6,0.85,1,1,1,1
"Nova_Mutum",85000,0.02,0.04,0.06,0.18,0.35,0.6,0.75,0.9,1,1,1
"Ipiranga_do_Norte",65000,0.01,0.03,0.06,0.19,0.36,0.65,0.8,0.98,1,1,1
"Sinop",45000,0.02,0.04,0.07,0.21,0.35,0.62,0.78,0.96,1,1,1
"Tapurah",32000,0.01,0.03,0.07,0.21,0.4,0.65,0.84,0.98,1,1,1
"Santa_Rita_do_Trivelato",35000,0.01,0.03,0.05,0.18,0.5,0.68,0.82,1,1,1,1
"Nova_Ubirata",80000,0.01,0.03,0.05,0.18,0.45,0.6,0.82,1,1,1,1
"Vera",45000,0.01,0.03,0.06,0.19,0.45,0.6,0.85,1,1,1,1
"Sao_Jose_do_Rio_Claro",18000,0.01,0.03,0.05,0.19,0.35,0.58,0.83,0.98,1,1,1
"Others_Medio_Norte",91500,0.01,0.03,0.06,0.18,0.35,0.6,0.8,0.96,1,1,1
"Oeste",256100,0.009,0.019,0.038,0.123,0.162,0.291,0.493,0.705,0.872,0.992,1
"Sapezal",1e+05,0.01,0.02,0.05,0.15,0.18,0.3,0.55,0.7,0.89,1,1
"Campo_Novo_dos_Parecis",85000,0.01,0.02,0.03,0.11,0.15,0.29,0.46,0.68,0.86,0.99,1
"Campos_de_Julio",58000,0.01,0.02,0.03,0.1,0.15,0.28,0.44,0.75,0.86,0.98,1
"Others_Oeste",13100,0,0.01,0.03,0.1,0.15,0.28,0.5,0.7,0.87,0.99,1
"Centro_Sul",108000,0.007,0.017,0.041,0.071,0.151,0.313,0.534,0.689,0.854,0.98,1
"Diamantino",65000,0.01,0.02,0.04,0.07,0.15,0.32,0.55,0.68,0.87,0.98,1
"Tangara_da_Serra",14000,0.005,0.015,0.05,0.07,0.18,0.32,0.52,0.66,0.8,0.98,1
"Santo_Antonio_do_Leveger",8000,0,0.01,0.03,0.07,0.14,0.3,0.52,0.68,0.85,0.99,1
"Chapada_dos_Guimaraes",10000,0,0.015,0.04,0.08,0.16,0.28,0.5,0.7,0.83,0.96,1
"Others_Centro_Sul",11000,0,0.01,0.04,0.07,0.12,0.3,0.5,0.78,0.85,0.99,1
"Sudeste",402500,0,0.017,0.039,0.075,0.146,0.284,0.521,0.739,0.844,0.977,0.996
"Campo_Verde",70000,0,0.02,0.03,0.08,0.16,0.3,0.5,0.7,0.82,0.95,0.99
"Primavera_do_Leste",80000,0,0.03,0.05,0.08,0.17,0.3,0.58,0.75,0.85,0.97,0.99
"Alto_Garcas_e_Alto_Taquari",10000,0,0.02,0.03,0.08,0.13,0.27,0.45,0.7,0.85,0.95,0.98
"Jaciara_e_Juscimeira",12000,0,0.01,0.02,0.07,0.15,0.3,0.52,0.72,0.83,0.98,1
"Santo_Antonio_do_Leste",25000,0,0.02,0.03,0.08,0.17,0.3,0.6,0.75,0.84,0.98,1
"Others_Sudeste",205500,0,0.01,0.04,0.07,0.13,0.27,0.5,0.75,0.85,0.99,1
"Mato_Grosso",1752108,0.01,0.026,0.05,0.146,0.275,0.446,0.668,0.85,0.933,0.992,0.999
