"Regions","Area_ha","2012-05-24","2012-05-31","2012-06-07","2012-06-14","2012-06-21","2012-06-28","2012-07-05","2012-07-12","2012-07-19","2012-07-26","2012-08-02","2012-08-09","2012-08-16","2012-08-23"
"Noroeste",67800,0,0,0.005,0.015,0.052,0.09,0.2,0.35,0.55,0.693,0.885,0.979,1,1
"Brasnorte",25000,0,0,0.005,0.015,0.055,0.09,0.2,0.35,0.55,0.68,0.86,0.96,1,1
"Others_Noroeste",42800,0,0,0.005,0.015,0.05,0.09,0.2,0.35,0.55,0.7,0.9,0.99,1,1
"Norte",14650,0,0,0.01,0.025,0.072,0.13,0.23,0.487,0.613,0.743,0.9,0.99,1,1
"Itauba",4900,0,0,0.01,0.025,0.075,0.13,0.23,0.5,0.62,0.75,0.9,0.99,1,1
"Others_Norte",9750,0,0,0.01,0.025,0.07,0.13,0.23,0.48,0.61,0.74,0.9,0.99,1,1
"Nordeste",126600,0,0,0.011,0.024,0.072,0.139,0.249,0.527,0.669,0.803,0.964,0.996,1,1
"Canarana",26000,0,0,0.015,0.03,0.065,0.13,0.23,0.45,0.6,0.75,0.99,1,1,1
"Querencia",45000,0,0,0.01,0.02,0.08,0.16,0.26,0.6,0.75,0.9,0.96,1,1,1
"Gaucha_do_Norte",10000,0,0,0.01,0.025,0.07,0.13,0.25,0.5,0.62,0.76,0.98,1,1,1
"Nova_Xavantina",10000,0,0,0.01,0.02,0.06,0.11,0.24,0.48,0.6,0.73,0.95,0.99,1,1
"Others_Nordeste",35600,0,0,0.01,0.025,0.07,0.13,0.25,0.51,0.65,0.75,0.95,0.99,1,1
"Medio_Norte",1360400,0.002,0.005,0.019,0.049,0.083,0.153,0.296,0.547,0.709,0.844,0.926,0.993,1,1
"Lucas_do_Rio_Verde",169400,0.005,0.01,0.02,0.05,0.08,0.15,0.28,0.51,0.65,0.8,0.9,0.99,1,1
"Sorriso",460000,0,0,0.015,0.035,0.065,0.135,0.3,0.6,0.75,0.89,0.95,1,1,1
"Nova_Mutum",105000,0,0,0.015,0.05,0.09,0.15,0.29,0.45,0.65,0.78,0.9,0.99,1,1
"Ipiranga_do_Norte",90000,0.005,0.01,0.025,0.055,0.095,0.18,0.3,0.56,0.64,0.8,0.92,0.99,1,1
"Sinop",65000,0.005,0.01,0.03,0.06,0.1,0.15,0.28,0.5,0.7,0.82,0.91,1,1,1
"Tapurah",50000,0,0.005,0.02,0.05,0.11,0.2,0.32,0.54,0.72,0.85,0.92,0.99,1,1
"Santa_Rita_do_Trivelato",60000,0,0.005,0.025,0.055,0.12,0.2,0.35,0.56,0.74,0.85,0.95,1,1,1
"Nova_Ubirata",1e+05,0.005,0.01,0.02,0.06,0.1,0.17,0.34,0.5,0.7,0.8,0.9,0.99,1,1
"Vera",72000,0.005,0.01,0.03,0.06,0.09,0.15,0.25,0.6,0.78,0.9,0.98,1,1,1
"Sao_Jose_do_Rio_Claro",26000,0,0,0.01,0.035,0.05,0.1,0.23,0.43,0.65,0.79,0.89,0.96,1,1
"Others_Medio_Norte",163000,0.005,0.01,0.02,0.065,0.09,0.16,0.29,0.53,0.7,0.84,0.9,0.98,1,1
"Oeste",338350,0.005,0.01,0.034,0.067,0.111,0.155,0.258,0.445,0.638,0.757,0.848,0.911,0.99,1
"Sapezal",110000,0.01,0.015,0.05,0.09,0.15,0.2,0.3,0.48,0.68,0.8,0.88,0.93,0.99,1
"Campo_Novo_dos_Parecis",128000,0.005,0.01,0.03,0.06,0.1,0.14,0.24,0.45,0.63,0.75,0.85,0.9,0.99,1
"Campos_de_Julio",82000,0,0.005,0.02,0.05,0.08,0.12,0.23,0.4,0.6,0.71,0.8,0.9,0.99,1
"Others_Oeste",18350,0,0.005,0.03,0.06,0.1,0.15,0.25,0.41,0.62,0.75,0.85,0.92,0.99,1
"Centro_Sul",139400,0,0.001,0.014,0.031,0.082,0.127,0.221,0.401,0.614,0.729,0.863,0.938,0.993,1
"Diamantino",78000,0,0,0.015,0.03,0.08,0.13,0.22,0.38,0.6,0.71,0.85,0.93,0.99,1
"Tangara_da_Serra",26000,0,0.005,0.02,0.045,0.1,0.14,0.23,0.4,0.61,0.76,0.9,0.96,1,1
"Santo_Antonio_do_Leveger",10000,0,0,0.01,0.025,0.07,0.11,0.21,0.41,0.65,0.75,0.87,0.96,1,1
"Chapada_dos_Guimaraes",14000,0,0,0.005,0.02,0.065,0.1,0.22,0.5,0.66,0.75,0.85,0.92,0.99,1
"Others_Centro_Sul",11400,0,0,0.01,0.02,0.08,0.12,0.22,0.42,0.63,0.74,0.88,0.95,1,1
"Sudeste",457620,0.002,0.004,0.016,0.033,0.07,0.124,0.243,0.461,0.572,0.745,0.838,0.932,0.99,1
"Campo_Verde",90000,0.005,0.01,0.02,0.05,0.09,0.18,0.28,0.5,0.62,0.75,0.85,0.92,0.99,1
"Primavera_do_Leste",1e+05,0.005,0.01,0.025,0.045,0.07,0.12,0.22,0.45,0.57,0.74,0.82,0.91,0.99,1
"Alto_Garcas_e_Alto_Taquari",10800,0,0,0.005,0.02,0.05,0.09,0.2,0.4,0.51,0.71,0.8,0.95,0.99,1
"Jaciara_e_Juscimeira",29200,0,0,0.02,0.04,0.06,0.09,0.23,0.4,0.55,0.72,0.8,0.95,0.99,1
"Santo_Antonio_do_Leste",28000,0,0,0.01,0.025,0.06,0.1,0.25,0.47,0.56,0.75,0.83,0.96,0.99,1
"Others_Sudeste",199620,0,0,0.01,0.02,0.065,0.11,0.24,0.46,0.56,0.75,0.85,0.94,0.99,1
